id,material,harvest,site,productivity,species
519,igra 516 rr,2009,dourados,64.8,soy
520,na 5909 rg,2009,dourados,64.7,soy
521,cd 221,2009,dourados,64.7,soy
522,tmg 4001 rr,2009,dourados,64.6,soy
523,fts campo mourão rr,2009,dourados,64.5,soy
524,cd 202,2009,dourados,64.5,soy
525,fts cascavel rr,2009,dourados,63.8,soy
526,m-soy 7908 rr,2009,dourados,63.2,soy
527,brasmax força rr,2009,dourados,62.5,soy
528,cd 233 rr,2009,dourados,62.3,soy
529,fts 1156 rr cafelândia,2009,dourados,62.0,soy
530,na 7321 rr,2009,dourados,61.7,soy
531,brs 284,2009,dourados,61.5,soy
532,tmg 958 b,2009,dourados,61.4,soy
533,cd 219 rr,2009,dourados,60.6,soy
534,brs 239,2009,dourados,60.4,soy
535,tmg 1067 rr,2009,dourados,59.7,soy
536,5d690 rr,2009,dourados,57.7,soy
537,tmgmt 52052 rr,2009,dourados,55.5,soy
538,tmgmt 52756 rr,2009,dourados,55.2,soy
539,5d660 rr,2009,dourados,54.8,soy
540,m6009 rr,2009,dourados,52.2,soy
541,cd 225 rr,2009,dourados,47.3,soy
542,brs 232,2009,dourados,66.8,soy
543,brs 283,2009,dourados,65.8,soy
544,brs 246 rr,2009,dourados,64.7,soy
545,brs 239,2009,dourados,64.7,soy
546,brs 245 rr,2009,dourados,64.1,soy
547,brs charrua rr,2009,dourados,63.5,soy
548,brs 284,2009,dourados,63.5,soy
549,brs 282,2009,dourados,63.5,soy
550,cd 202,2009,dourados,63.4,soy
